setting,subset,n,difference,explained_menref,explained_womenref,unexplained_menref,unexplained_womenref,explained_flip,unexplained_flip,any_flip,error,width,seed,n_params
w=8 s=0,Random 30% #3,1028,-0.0136963318843895,-0.0178448829549354,0.0029214107581199,0.0041485510705459,-0.0166177426425094,True,True,True,,8,0,209
w=8 s=0,Random 30% #4,1028,0.012612065619632,0.0150125607656725,0.0119623645404465,-0.0024004951460405,0.0006497010791855,False,True,True,,8,0,209
w=8 s=0,Random 30% #5,1028,0.012955140579904,0.034562307826614,0.0261859722029185,-0.02160716724671,-0.0132308316230145,False,False,False,,8,0,209
w=8 s=0,Random 30% #6,1028,0.011061887501678,-0.0048349102997751,0.0281750920637127,0.0158967978014532,-0.0171132045620347,True,True,True,,8,0,209
w=8 s=0,Random 30% #7,1028,-0.0019795447047178,0.0166439208484021,0.0169826631858197,-0.01862346555312,-0.0189622078905376,False,False,False,,8,0,209
w=8 s=0,Random 30% #8,1028,-0.0013757582957458,-0.0036324193030601,0.0252575988559519,0.0022566610073142,-0.0266333571516978,True,True,True,,8,0,209
w=8 s=0,Random 30% #9,1028,0.0167924069116573,-0.002122454885598,0.0191768414989552,0.0189148617972553,-0.0023844345872978,True,True,True,,8,0,209
w=8 s=0,Random 30% #10,1028,0.0218614718614718,-0.002832114503318,0.0093160135073687,0.0246935863647898,0.0125454583541031,True,False,True,,8,0,209
w=8 s=0,Random 30% #11,1028,0.0036992125742528,0.0143008040742315,0.0245824163669759,-0.0106015914999787,-0.0208832037927231,False,False,False,,8,0,209
w=8 s=0,Random 30% #12,1028,-0.0176439165409753,0.009367994625219,-0.0031948622625699,-0.0270119111661944,-0.0144490542784053,True,False,True,,8,0,209
w=8 s=0,Random 30% #13,1028,0.0061871080085679,0.0185634642584494,-0.0093878608788798,-0.0123763562498815,0.0155749688874477,True,True,True,,8,0,209
w=8 s=0,Random 30% #14,1028,-0.0024039572835282,0.0195942392911609,0.0126160281943009,-0.0219981965746892,-0.0150199854778292,False,False,False,,8,0,209
